Symbol,TableName
GRSE,GRSE
GSFC,GSFC
GSPL,GSPL
GUJALKALI,GUJALKALI
GUJGASLTD,GUJGASLTD
GULFOILLUB,GULFOILLUB
HAL,HAL
HAPPSTMNDS,HAPPSTMNDS
HATHWAY,HATHWAY
HATSUN,HATSUN
HAVELLS,HAVELLS
HCLTECH,HCLTECH
HDFCAMC,HDFCAMC
HDFCBANK,HDFCBANK
HDFCLIFE,HDFCLIFE
HEG,HEG
HEIDELBERG,HEIDELBERG
HERITGFOOD,HERITGFOOD
HEROMOTOCO,HEROMOTOCO
HFCL,HFCL
HGS,HGS
HIKAL,HIKAL
HINDALCO,HINDALCO
HINDCOPPER,HINDCOPPER
HINDPETRO,HINDPETRO
HINDUNILVR,HINDUNILVR
HINDZINC,HINDZINC
HLEGLAS,HLEGLAS
HOMEFIRST,HOMEFIRST
HONAUT,HONAUT
HSCL-BE,HSCL
HUDCO,HUDCO
HUHTAMAKI,HUHTAMAKI
IBREALEST,IBREALEST
IBULHSGFIN,IBULHSGFIN
ICICIBANK,ICICIBANK
ICICIGI,ICICIGI
ICICIPRULI,ICICIPRULI
ICRA,ICRA
IDBI,IDBI
IDEA,IDEA
IDFC,IDFC
IDFCFIRSTB,IDFCFIRSTB
IEX,IEX
IFBIND,IFBIND
IGL,IGL
IIFL,IIFL
INDHOTEL,INDHOTEL
INDIACEM,INDIACEM
INDIAMART,INDIAMART
INDIANB,INDIANB
INDIGO,INDIGO
INDIGOPNTS,INDIGOPNTS
INDOCO,INDOCO
INDUSINDBK,INDUSINDBK
INDUSTOWER,INFRATEL
INFIBEAM,INFIBEAM
INFY,INFY
INGERRAND,INGERRAND
INTELLECT,INTELLECT
IOB,IOB
IOC,IOC
IOLCP,IOLCP
IPCALAB,IPCALAB
IRB,IRB
IRCON,IRCON
IRCTC,IRCTC
IRFC,IRFC
ISEC,ISEC
ITC,ITC
ITI,ITI
J&KBANK,J_KBANK
JAGRAN,JAGRAN
JAICORPLTD,JAICORPLTD
JAMNAAUTO,JAMNAAUTO
JBCHEPHARM,JBCHEPHARM
JBMA,JBMA
JCHAC,JCHAC
JINDALSAW,JINDALSAW
JINDALSTEL,JINDALSTEL
JINDWORLD,JINDWORLD
JKCEMENT,JKCEMENT
JKLAKSHMI,JKLAKSHMI
JKPAPER,JKPAPER
JKTYRE,JKTYRE
JMFINANCIL,JMFINANCIL
JSL,JSL
JSWENERGY,JSWENERGY
JSWSTEEL,JSWSTEEL
JTEKTINDIA,JTEKTINDIA
JUBLFOOD,JUBLFOOD
JUBLINGREA,JUBLINGREA
JUBLPHARMA,JUBLPHARMA
JUSTDIAL,JUSTDIAL
JYOTHYLAB,JYOTHYLAB
KAJARIACER,KAJARIACER
KALYANKJIL,KALYANKJIL
KANSAINER,KANSAINER
KARURVYSYA,KARURVYSYA
KAYNES,KAYNES
KEC,KEC
KEI,KEI
KFINTECH,KFINTECH
KIMS,KIMS
KNRCON,KNRCON
KOLTEPATIL,KOLTEPATIL
KOTAKBANK,KOTAKBANK
KPIL,KALPATPOWR
KPITTECH,KPITTECH
KPRMILL,KPRMILL
KRBL,KRBL
KSB,KSB
KSCL,KSCL
KTKBANK,KTKBANK
L&TFH,L_TFH
LALPATHLAB,LALPATHLAB
LAOPALA,LAOPALA
LATENTVIEW,LATENTVIEW
LAURUSLABS,LAURUSLABS
LAXMIMACH,LAXMIMACH
LEMONTREE,LEMONTREE
LICHSGFIN,LICHSGFIN
LICI,LICI
LINDEINDIA,LINDEINDIA
LODHA,LODHA
LT,LT
LTIM,LTI
LTTS,LTTS
LUPIN,LUPIN
LUXIND,LUXIND
LXCHEM,LXCHEM
M&M,M_M
M&MFIN,M_MFIN
MAHABANK,MAHABANK
