date,currExpiry,nextExpiry
2021-10-21,BANKNIFTY21O21,BANKNIFTY21OCT
2021-10-22,BANKNIFTY21OCT,BANKNIFTY21N04
2021-10-25,BANKNIFTY21OCT,BANKNIFTY21N04
2021-10-26,BANKNIFTY21OCT,BANKNIFTY21N04
2021-10-27,BANKNIFTY21OCT,BANKNIFTY21N04
2021-10-28,BANKNIFTY21OCT,BANKNIFTY21N04
2021-10-29,BANKNIFTY21N04,BANKNIFTY21N11
2021-11-01,BANKNIFTY21N04,BANKNIFTY21N11
2021-11-02,BANKNIFTY21N04,BANKNIFTY21N11
2021-11-03,BANKNIFTY21N04,BANKNIFTY21N11
2021-11-04,BANKNIFTY21N04,BANKNIFTY21N11
2021-11-08,BANKNIFTY21N11,BANKNIFTY21N18
2021-11-09,BANKNIFTY21N11,BANKNIFTY21N18
2021-11-10,BANKNIFTY21N11,BANKNIFTY21N18
2021-11-11,BANKNIFTY21N11,BANKNIFTY21N18
2021-11-12,BANKNIFTY21N18,BANKNIFTY21NOV
2021-11-15,BANKNIFTY21N18,BANKNIFTY21NOV
2021-11-16,BANKNIFTY21N18,BANKNIFTY21NOV
2021-11-17,BANKNIFTY21N18,BANKNIFTY21NOV
2021-11-18,BANKNIFTY21N18,BANKNIFTY21NOV
2021-11-22,BANKNIFTY21NOV,BANKNIFTY21D02
2021-11-23,BANKNIFTY21NOV,BANKNIFTY21D02
2021-11-24,BANKNIFTY21NOV,BANKNIFTY21D02
2021-11-25,BANKNIFTY21NOV,BANKNIFTY21D02
2021-11-26,BANKNIFTY21D02,BANKNIFTY21D09
2021-11-29,BANKNIFTY21D02,BANKNIFTY21D09
2021-11-30,BANKNIFTY21D02,BANKNIFTY21D09
2021-12-01,BANKNIFTY21D02,BANKNIFTY21D09
2021-12-02,BANKNIFTY21D02,BANKNIFTY21D09
2021-12-03,BANKNIFTY21D09,BANKNIFTY21D16
2021-12-06,BANKNIFTY21D09,BANKNIFTY21D16
2021-12-07,BANKNIFTY21D09,BANKNIFTY21D16
2021-12-08,BANKNIFTY21D09,BANKNIFTY21D16
2021-12-09,BANKNIFTY21D09,BANKNIFTY21D16
2021-12-10,BANKNIFTY21D16,BANKNIFTY21D23
2021-12-13,BANKNIFTY21D16,BANKNIFTY21D23
2021-12-14,BANKNIFTY21D16,BANKNIFTY21D23
2021-12-15,BANKNIFTY21D16,BANKNIFTY21D23
2021-12-16,BANKNIFTY21D16,BANKNIFTY21D23
2021-12-17,BANKNIFTY21D23,BANKNIFTY21DEC
2021-12-20,BANKNIFTY21D23,BANKNIFTY21DEC
2021-12-21,BANKNIFTY21D23,BANKNIFTY21DEC
2021-12-22,BANKNIFTY21D23,BANKNIFTY21DEC
2021-12-23,BANKNIFTY21D23,BANKNIFTY21DEC
2021-12-24,BANKNIFTY21DEC,BANKNIFTY22106
2021-12-27,BANKNIFTY21DEC,BANKNIFTY22106
2021-12-28,BANKNIFTY21DEC,BANKNIFTY22106
2021-12-29,BANKNIFTY21DEC,BANKNIFTY22106
2021-12-30,BANKNIFTY21DEC,BANKNIFTY22106
2021-12-31,BANKNIFTY22106,BANKNIFTY22113
