date,currExpiry,nextExpiry
2022-07-21,NIFTY22721,NIFTY22JUL
2022-07-22,NIFTY22JUL,NIFTY22804
2022-07-25,NIFTY22JUL,NIFTY22804
2022-07-26,NIFTY22JUL,NIFTY22804
2022-07-27,NIFTY22JUL,NIFTY22804
2022-07-28,NIFTY22JUL,NIFTY22804
2022-07-29,NIFTY22804,NIFTY22811
2022-08-01,NIFTY22804,NIFTY22811
2022-08-02,NIFTY22804,NIFTY22811
2022-08-03,NIFTY22804,NIFTY22811
2022-08-04,NIFTY22804,NIFTY22811
2022-08-05,NIFTY22811,NIFTY22818
2022-08-08,NIFTY22811,NIFTY22818
2022-08-10,NIFTY22811,NIFTY22818
2022-08-11,NIFTY22811,NIFTY22818
2022-08-12,NIFTY22818,NIFTY22AUG
2022-08-16,NIFTY22818,NIFTY22AUG
2022-08-17,NIFTY22818,NIFTY22AUG
2022-08-18,NIFTY22818,NIFTY22AUG
2022-08-19,NIFTY22AUG,NIFTY22901
2022-08-22,NIFTY22AUG,NIFTY22901
2022-08-23,NIFTY22AUG,NIFTY22901
2022-08-24,NIFTY22AUG,NIFTY22901
2022-08-25,NIFTY22AUG,NIFTY22901
2022-08-26,NIFTY22901,NIFTY22908
2022-08-29,NIFTY22901,NIFTY22908
2022-08-30,NIFTY22901,NIFTY22908
2022-09-01,NIFTY22901,NIFTY22908
2022-09-02,NIFTY22908,NIFTY22915
2022-09-05,NIFTY22908,NIFTY22915
2022-09-06,NIFTY22908,NIFTY22915
2022-09-07,NIFTY22908,NIFTY22915
2022-09-08,NIFTY22908,NIFTY22915
2022-09-09,NIFTY22915,NIFTY22922
2022-09-12,NIFTY22915,NIFTY22922
2022-09-13,NIFTY22915,NIFTY22922
2022-09-14,NIFTY22915,NIFTY22922
2022-09-15,NIFTY22915,NIFTY22922
2022-09-16,NIFTY22922,NIFTY22SEP
2022-09-19,NIFTY22922,NIFTY22SEP
2022-09-20,NIFTY22922,NIFTY22SEP
2022-09-21,NIFTY22922,NIFTY22SEP
2022-09-22,NIFTY22922,NIFTY22SEP
2022-09-23,NIFTY22SEP,NIFTY22O06
2022-09-26,NIFTY22SEP,NIFTY22O06
2022-09-27,NIFTY22SEP,NIFTY22O06
2022-09-28,NIFTY22SEP,NIFTY22O06
2022-09-29,NIFTY22SEP,NIFTY22O06
2022-09-30,NIFTY22O06,NIFTY22O13
2022-10-03,NIFTY22O06,NIFTY22O13
2022-10-04,NIFTY22O06,NIFTY22O13
2022-10-06,NIFTY22O06,NIFTY22O13
2022-10-07,NIFTY22O13,NIFTY22O20
2022-10-10,NIFTY22O13,NIFTY22O20
2022-10-11,NIFTY22O13,NIFTY22O20
2022-10-12,NIFTY22O13,NIFTY22O20
2022-10-13,NIFTY22O13,NIFTY22O20
2022-10-14,NIFTY22O20,NIFTY22OCT
2022-10-17,NIFTY22O20,NIFTY22OCT
2022-10-18,NIFTY22O20,NIFTY22OCT
2022-10-19,NIFTY22O20,NIFTY22OCT
2022-10-20,NIFTY22O20,NIFTY22OCT
2022-10-21,NIFTY22OCT,NIFTY22N03
2022-10-25,NIFTY22OCT,NIFTY22N03
2022-10-27,NIFTY22OCT,NIFTY22N03
2022-10-28,NIFTY22N03,NIFTY22N10
2022-10-31,NIFTY22N03,NIFTY22N10
2022-11-01,NIFTY22N03,NIFTY22N10
2022-11-02,NIFTY22N03,NIFTY22N10
2022-11-03,NIFTY22N03,NIFTY22N10
2022-11-04,NIFTY22N10,NIFTY22N17
2022-11-07,NIFTY22N10,NIFTY22N17
2022-11-09,NIFTY22N10,NIFTY22N17
2022-11-10,NIFTY22N10,NIFTY22N17
2022-11-11,NIFTY22N17,NIFTY22NOV
2022-11-14,NIFTY22N17,NIFTY22NOV
2022-11-15,NIFTY22N17,NIFTY22NOV
2022-11-16,NIFTY22N17,NIFTY22NOV
2022-11-17,NIFTY22N17,NIFTY22NOV
2022-11-18,NIFTY22NOV,NIFTY22D01
2022-11-21,NIFTY22NOV,NIFTY22D01
2022-11-22,NIFTY22NOV,NIFTY22D01
2022-11-23,NIFTY22NOV,NIFTY22D01
2022-11-24,NIFTY22NOV,NIFTY22D01
2022-11-25,NIFTY22D01,NIFTY22D08
2022-11-28,NIFTY22D01,NIFTY22D08
2022-11-29,NIFTY22D01,NIFTY22D08
2022-11-30,NIFTY22D01,NIFTY22D08
2022-12-01,NIFTY22D01,NIFTY22D08
2022-12-02,NIFTY22D08,NIFTY22D15
2022-12-05,NIFTY22D08,NIFTY22D15
2022-12-06,NIFTY22D08,NIFTY22D15
2022-12-07,NIFTY22D08,NIFTY22D15
2022-12-08,NIFTY22D08,NIFTY22D15
2022-12-09,NIFTY22D15,NIFTY22D22
2022-12-12,NIFTY22D15,NIFTY22D22
2022-12-13,NIFTY22D15,NIFTY22D22
2022-12-14,NIFTY22D15,NIFTY22D22
2022-12-15,NIFTY22D15,NIFTY22D22
2022-12-16,NIFTY22D22,NIFTY22DEC
2022-12-19,NIFTY22D22,NIFTY22DEC
2022-12-20,NIFTY22D22,NIFTY22DEC
2022-12-21,NIFTY22D22,NIFTY22DEC
2022-12-22,NIFTY22D22,NIFTY22DEC
2022-12-23,NIFTY22DEC,NIFTY23105
2022-12-26,NIFTY22DEC,NIFTY23105
2022-12-27,NIFTY22DEC,NIFTY23105
2022-12-28,NIFTY22DEC,NIFTY23105
2022-12-29,NIFTY22DEC,NIFTY23105
2022-12-30,NIFTY23105,NIFTY23112
