date,currExpiry,nextExpiry
2021-11-03,NIFTY21N04,NIFTY21N11
2021-11-04,NIFTY21N04,NIFTY21N11
2021-11-08,NIFTY21N11,NIFTY21N18
2021-11-09,NIFTY21N11,NIFTY21N18
2021-11-10,NIFTY21N11,NIFTY21N18
2021-11-11,NIFTY21N11,NIFTY21N18
2021-11-12,NIFTY21N18,NIFTY21NOV
2021-11-15,NIFTY21N18,NIFTY21NOV
2021-11-16,NIFTY21N18,NIFTY21NOV
2021-11-17,NIFTY21N18,NIFTY21NOV
2021-11-18,NIFTY21N18,NIFTY21NOV
2021-11-22,NIFTY21NOV,NIFTY21D02
2021-11-23,NIFTY21NOV,NIFTY21D02
2021-11-24,NIFTY21NOV,NIFTY21D02
2021-11-25,NIFTY21NOV,NIFTY21D02
2021-11-26,NIFTY21D02,NIFTY21D09
2021-11-29,NIFTY21D02,NIFTY21D09
2021-11-30,NIFTY21D02,NIFTY21D09
2021-12-01,NIFTY21D02,NIFTY21D09
2021-12-02,NIFTY21D02,NIFTY21D09
2021-12-03,NIFTY21D09,NIFTY21D16
2021-12-06,NIFTY21D09,NIFTY21D16
2021-12-07,NIFTY21D09,NIFTY21D16
2021-12-08,NIFTY21D09,NIFTY21D16
2021-12-09,NIFTY21D09,NIFTY21D16
2021-12-10,NIFTY21D16,NIFTY21D23
2021-12-13,NIFTY21D16,NIFTY21D23
2021-12-14,NIFTY21D16,NIFTY21D23
2021-12-15,NIFTY21D16,NIFTY21D23
2021-12-16,NIFTY21D16,NIFTY21D23
2021-12-17,NIFTY21D23,NIFTY21DEC
2021-12-20,NIFTY21D23,NIFTY21DEC
2021-12-21,NIFTY21D23,NIFTY21DEC
2021-12-22,NIFTY21D23,NIFTY21DEC
2021-12-23,NIFTY21D23,NIFTY21DEC
2021-12-24,NIFTY21DEC,NIFTY22106
2021-12-27,NIFTY21DEC,NIFTY22106
2021-12-28,NIFTY21DEC,NIFTY22106
2021-12-29,NIFTY21DEC,NIFTY22106
2021-12-30,NIFTY21DEC,NIFTY22106
2021-12-31,NIFTY22106,NIFTY22113
