instrument_token
14024450
14024706
14025474
14025730
14026498
14026754
11906562
11906818
11233538
11235074
9253634
9253890
9255170
9255426
9256706
9256962
12771586
12771842
12772610
12772866
12773634
12773890
8990210
8990466
8991490
8992514
17473794
17474050
17476866
17484034
17488130
17488386
17489154
17489410
17490178
17490434
17492482
17492738
17494018
17494274
17502722
17502978
17506818
17507074
17513474
17513730
17514498
17514754
17515522
17526018
17528322
17528578
17529346
17529602
17530370
17530626
17531394
17531650
17532418
17532674
17533442
17533698
17534466
17534722
17535490
17535746
17536514
17536770
17537538
17537794
17538562
17538818
17539586
17539842
17540610
17540866
17541634
17541890
17542658
17542914
17543682
17543938
17544706
17544962
17545730
17545986
9420034
9420290
10407938
10408194
9313282
9313538
14027522
14027778
14028546
14028802
14029570
14029826
11909634
11909890
11910658
11910914
11912450
11912706
8966402
8966658
8968450
8968706
11631874
11632130
11632898
11633410
11635458
11635714
11639298
11639554
11640322
11640578
11641602
11642114
11643138
11643394
11644674
11645442
11649026
11649282
11650050
11650306
11652354
11652610
11653378
11653634
11657218
11657474
11658498
11658754
11662594
11662850
11663618
11663874
11667970
11668482
11672578
11672834
11675138
11676418
11677186
11677954
11679490
11679746
11683842
11684098
11684866
11685122
11686402
11686658
11688194
11688450
11690754
11692290
11694082
11694338
11695362
11695618
11696642
11696898
11700994
11701250
11702018
11702274
12626946
12627970
9603074
9603330
10288130
10288386
10289154
10289410
9807362
9807618
11486722
11486978
10861058
10861314
