instrument_token
121345
1147137
1793
1378561
3329
4583169
5533185
7707649
5633
6401
912129
4617985
10241
2903809
3350017
2079745
375553
20225
2995969
1148673
4524801
25601
303361
325121
6599681
6483969
40193
41729
5166593
54273
386049
3691009
1436161
67329
5436929
70401
2031617
4999937
3848705
78081
85761
86529
87297
579329
1214721
94209
94977
4589313
97281
548865
98049
101121
103425
108033
981505
112129
2911489
122881
4931841
126721
2127617
131329
558337
3887105
5013761
1790465
2029825
2763265
149249
999937
152321
7452929
320001
2931713
5420545
3905025
3812865
3406081
160001
3849985
160769
5204225
2187777
163073
524545
175361
5565441
5506049
2955009
3876097
1215745
189185
1131777
193793
4376065
3831297
1459457
486657
1471489
197633
2067201
4577537
4630017
5556225
3513601
207617
5105409
3851265
3938305
6248705
3721473
2800641
5552641
3771393
5097729
3870465
234497
235265
239873
3460353
4818433
1256193
251137
4314113
5415425
244481
245249
173057
7689729
1253889
265729
958465
266497
3735553
4704769
3661825
336641
281601
2012673
288513
70913
403457
401921
3463169
1401601
2983425
2912513
4724993
